id,surname,name,patronymic,birthday
100001,Иванов,Андрей,Сергеевич,2005-01-10
100002,Петров,Борис,Сергеевич,2004-03-05
100003,Сидоров,Виктор,Сергеевич,2006-04-20
100004,Кузнецов,Глеб,Сергеевич,2003-11-01
100005,Орлов,Денис,Сергеевич,2002-06-15
100006,Смирнов,Егор,Сергеевич,2001-07-17
100007,Фролов,Жан,Сергеевич,2000-08-22
100008,Белов,Илья,Сергеевич,1999-12-30
100009,Морозов,Кирилл,Сергеевич,1998-09-09
100010,Никитин,Лев,Сергеевич,1997-10-10
100011,Абрамов,Алексей,Владимирович,2003-01-02
100012,Волков,Александр,Игоревич,2005-01-10
100013,Громов,Борис,Игоревич,2006-06-01
100020,Демин,Артем,Александрович,2006-06-01
113409,Зуев,Борис,Игоревич,2004-01-01
153285,Лисин,Павел,Олегович,2001-10-10
153286,Мельников,Роман,Павлович,2002-02-14
153290,Назаров,Семен,Павлович,2002-05-20
163249,Матвеев,Руслан,Петрович,2000-09-09
170000,Новиков,Степан,Андреевич,2004-12-12
180000,Осипова,Татьяна,Викторовна,2002-07-07
190000,Романов,Юрий,Владимирович,2001-06-06
